hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,country,market_segment,customer_type,adr,required_car_parking_spaces,total_of_special_requests,previous_cancellations,deposit_type,agent,company,total_nights,total_guests
City Hotel,0,156,2024,June,23,2,2,2,0.0,USA,Groups,Transient,86.98,0,0,0,Non Refund,16.0,116.0,4,2.0
City Hotel,1,42,2023,April,6,2,0,1,0.0,FRA,Online TA,Transient,149.77,0,0,0,No Deposit,28.0,0.0,2,1.0
City Hotel,0,62,2024,July,11,0,3,1,2.0,USA,Online TA,Contract,114.39,1,0,0,No Deposit,6.0,0.0,3,3.0
City Hotel,0,29,2024,March,3,0,1,1,0.0,PRT,Offline TA/TO,Group,127.94,1,0,0,No Deposit,29.0,0.0,1,1.0
Resort Hotel,0,12,2023,May,16,1,2,2,0.0,PRT,Offline TA/TO,Transient,53.69,0,0,0,No Deposit,6.0,0.0,3,2.0
Resort Hotel,0,15,2024,January,5,2,0,1,0.0,GBR,Corporate,Transient,74.84,0,0,1,No Deposit,8.0,118.0,2,1.0
Resort Hotel,0,97,2024,October,24,2,2,3,0.0,ITA,Groups,Group,113.29,0,1,0,No Deposit,9.0,109.0,4,3.0
City Hotel,0,134,2023,March,22,3,3,2,0.0,DEU,Online TA,Transient-Party,110.56,0,0,0,No Deposit,3.0,115.0,6,2.0
City Hotel,0,40,2024,August,2,1,3,2,0.0,IND,Corporate,Transient,86.59,0,0,0,No Deposit,10.0,0.0,4,2.0
City Hotel,1,26,2023,September,15,1,1,2,0.0,ESP,Groups,Transient,108.7,0,3,1,No Deposit,9.0,0.0,2,2.0
Resort Hotel,1,98,2024,September,16,2,3,2,0.0,USA,Groups,Transient-Party,134.82,1,0,0,No Deposit,20.0,110.0,5,2.0
City Hotel,0,67,2024,October,7,1,2,2,0.0,DEU,Corporate,Group,113.19,0,0,0,Non Refund,20.0,103.0,3,2.0
