hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,country,market_segment,customer_type,adr,required_car_parking_spaces,total_of_special_requests,previous_cancellations,deposit_type,agent,company,total_nights,total_guests,lead_time_bucket,customer_segment,predicted_cancel_risk
City Hotel,0,156,2024,June,23,2,2,2,0.0,USA,Groups,Transient,86.98,0,0,0,Non Refund,16.0,116.0,4,2.0,91-180 days,Early Planner - Leisure/Transient,0.8123100481811072
City Hotel,1,42,2023,April,6,2,0,1,0.0,FRA,Online TA,Transient,149.77,0,0,0,No Deposit,28.0,0.0,2,1.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.42133494317989517
City Hotel,0,62,2024,July,11,0,3,1,2.0,USA,Online TA,Contract,114.39,1,0,0,No Deposit,6.0,0.0,3,3.0,31-90 days,Early Planner - Corporate/Contract,0.3564661454603351
City Hotel,0,29,2024,March,3,0,1,1,0.0,PRT,Offline TA/TO,Group,127.94,1,0,0,No Deposit,29.0,0.0,1,1.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3727038151786415
Resort Hotel,0,12,2023,May,16,1,2,2,0.0,PRT,Offline TA/TO,Transient,53.69,0,0,0,No Deposit,6.0,0.0,3,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3570861538743031
Resort Hotel,0,15,2024,January,5,2,0,1,0.0,GBR,Corporate,Transient,74.84,0,0,1,No Deposit,8.0,118.0,2,1.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3749844806788866
Resort Hotel,0,97,2024,October,24,2,2,3,0.0,ITA,Groups,Group,113.29,0,1,0,No Deposit,9.0,109.0,4,3.0,91-180 days,Early Planner - Leisure/Transient,0.3466142161599313
City Hotel,0,134,2023,March,22,3,3,2,0.0,DEU,Online TA,Transient-Party,110.56,0,0,0,No Deposit,3.0,115.0,6,2.0,91-180 days,Early Planner - Corporate/Contract,0.5633045698075085
City Hotel,0,40,2024,August,2,1,3,2,0.0,IND,Corporate,Transient,86.59,0,0,0,No Deposit,10.0,0.0,4,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3887973068873732
City Hotel,1,26,2023,September,15,1,1,2,0.0,ESP,Groups,Transient,108.7,0,3,1,No Deposit,9.0,0.0,2,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.4101800683234372
Resort Hotel,1,98,2024,September,16,2,3,2,0.0,USA,Groups,Transient-Party,134.82,1,0,0,No Deposit,20.0,110.0,5,2.0,91-180 days,Early Planner - Corporate/Contract,0.4763408880570384
City Hotel,0,67,2024,October,7,1,2,2,0.0,DEU,Corporate,Group,113.19,0,0,0,Non Refund,20.0,103.0,3,2.0,31-90 days,Early Planner - Leisure/Transient,0.6262493499319136
City Hotel,1,2,2024,February,16,0,2,2,0.0,USA,Corporate,Transient,82.06,0,0,0,No Deposit,18.0,106.0,2,2.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.3582837702798487
Resort Hotel,0,25,2024,April,24,1,1,2,0.0,PRT,Online TA,Transient,91.32,0,1,0,Refundable,21.0,108.0,2,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3108558393474773
Resort Hotel,0,51,2024,March,28,0,4,1,0.0,PRT,Online TA,Transient,162.19,0,1,0,Non Refund,23.0,116.0,4,1.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.6590115730884525
Resort Hotel,1,229,2023,November,16,0,1,2,0.0,IND,Online TA,Transient-Party,83.8,0,2,0,No Deposit,0.0,0.0,1,2.0,180+ days,Early Planner - Corporate/Contract,0.5481825776627486
City Hotel,1,120,2024,January,17,1,2,2,0.0,PRT,Offline TA/TO,Group,83.85,0,2,0,No Deposit,21.0,0.0,3,2.0,91-180 days,Early Planner - Leisure/Transient,0.38913579252275127
City Hotel,1,3,2024,June,2,1,4,2,2.0,IND,Corporate,Transient-Party,87.47,0,0,1,Non Refund,9.0,103.0,5,4.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.7255840120228131
Resort Hotel,0,77,2023,October,16,0,4,3,0.0,BRA,Offline TA/TO,Group,159.22,1,0,0,Refundable,10.0,111.0,4,3.0,31-90 days,Early Planner - Leisure/Transient,0.3652005019939512
City Hotel,0,24,2023,February,4,0,1,3,1.0,DEU,Corporate,Group,70.54,0,0,0,Non Refund,25.0,111.0,1,4.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.47348295354037145
Resort Hotel,1,68,2024,September,7,0,3,1,2.0,BRA,Offline TA/TO,Transient,172.48,0,0,2,No Deposit,4.0,114.0,3,3.0,31-90 days,Early Planner - Leisure/Transient,0.4742410975448023
Resort Hotel,0,57,2024,January,18,1,2,2,0.0,FRA,Online TA,Transient,119.46,0,0,0,No Deposit,13.0,116.0,3,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.4155515931505958
City Hotel,0,41,2023,November,6,1,4,1,2.0,GBR,Online TA,Transient-Party,42.71,0,0,0,No Deposit,7.0,118.0,5,3.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.4752952818321642
City Hotel,1,115,2023,September,18,0,2,2,0.0,IND,Offline TA/TO,Transient,126.12,0,1,0,Non Refund,7.0,102.0,2,2.0,91-180 days,Early Planner - Leisure/Transient,0.7607959566069064
City Hotel,1,74,2023,July,28,2,1,3,0.0,PRT,Online TA,Transient-Party,108.47,0,1,0,Non Refund,1.0,0.0,3,3.0,31-90 days,Early Planner - Corporate/Contract,0.7112551145330632
City Hotel,0,19,2023,October,2,2,3,4,0.0,IND,Online TA,Transient-Party,71.27,0,1,0,No Deposit,11.0,102.0,5,4.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.3120927650538248
